disease_id	lncRNA_id
1182	14166 14217 14218 14219 14220 14221 14222 14223 14225 14226 14227 14229 14230 14231 14232 14235 14236 14238 14239 14240 14241 14243 14244 14245 14247 14248 14249 14249 14250 14251 14252 14253 14254 14256 14259 14260 14261 14262 14263 14264 14266 14267 14269 14270 14271 14271 14273 14274 14275 14276 14277 14278 14281 14282 14283 14285 14286 14288 14290 14291 14292 14293 14294 14296 14297 14299 14300 14301 14302 14303 14304 14305 14306 14307 14308 14309 14310 14311 14313 14313 14314 14315 14316 14317 14319 14320 14321 14322 14323 14324 14325 14327 14328 14330 14332 14333 14335 14337 14338 14339 14342 14343 14345 14346 14347 14348 14349 14351 14353 14355 14356 14357 14359 14360 14362 14363 14364 14366 14367 14368 14369 14370 14371 14372 14373 14374 14375 14376 14377 14379 14380 14381 14382 14383 14384 14385 14386 14386 14388 14389 14391 14392 14394 14394 14395 14396 14397 14398 14400 14401 14402 14402 14403 14404 14406 14407 14408 14409 14409 14410 14412 14413 14414 14417 14418 14419 14420 14421 14422 14423 14424 14424 14425 14426 14427 14428 14429 14430 14431 14432 14433 14434 14434 14435 14436 14437 14438 14439 14440 14441 14444 14445 14447 14448 14449 14450 14451 14452 14453 14454 14455 14456 14457 14458 14461 14465 14466 14467 14468 14469 14470 14471 14472 14473 14474 14475 14476 14477 14478 14480 14481 14482 14483 14484 14486 14488 14489 14491 14492 14493 14494 14495 14497 14498 14502 14503 14504 14507 14508 14510 14511 14511 14512 14513 14514 14515 14516 14517 14518 14519 14521 14522 14524 14528 14529 14530 14531 14532 14533 14534 14535 14536 14537 14538 14539 14540 14541 14543 14544 14546 14547 14548 14551 14551 14552 14553 14554 14555 14556 14557 14558 14559 14560 14561 14562 14563 14564 14565 14566 14567 14568 14569 14570 14573 14574 14578 14579 14581 14583 14585 14586 14587 14588 14589 14590 14591 14592 14593 14594 14595 14596 14597 14599 14600 14601 14602 14603 14604 14605 14606 14607 14610 14611 14612 14614 14615 14616 14617 14618 14620 14620 14621 14622 14624 14625 14626 14627 14628 14629 14630 14631 14632 14633 14634 14635 14636 14644 14645 14646 14647 14648 14651 14661 14665 14666 14669 14670 14671 14673 14674 14675 14676 14677 14678 14680 14681 14682 14683 14683 14684 14685 14686 14689 14690 14691 14692 14693 14695 14696 14697 14698 14700 14701 14702 14703 14704 14705 14708 14709 14710 14711 14712 14716 14717 14718 14720 14721 14722 14723 14724 14725 14726 14727 14728 14729 14730 14730 14731 14732 14733 14734 14735 14736 14737 14738 14739 14740 14741 14742 14743 14744 14745 14746 14748 14749 14750 14751 14752 14755 14757 14758 14761 14762 14763 14764 14765 14766 14767 14768 14770 14771 14772 14773 14774 14775 14776 14776 14777 14779 14780 14781 14782 14783 14784 14785 14789 14790 14791 14792 14794 14795 14796 14797 14798 14800 14801 14802 14804 14805 14806 14807 14808 14809 14810 14811 14812 14813 14814 14815 14816 14817 14818 14819 14820 14821 14822 14823 14824 14825 14826 14827 14828 14829 14830 14831 14833 14834 14835 14837 14838 14839 14840 14841 14848 14852 14853 14854 14855 14857 14858 14860 14861 14862 14863 14864 14865 14868 14870 14871 14872 14873 14873 14874 14875 14876 14877 14878 14879 14882 14894 14900 14904 14905 14912 14913 14913 14921 14925 14929 14942 14950 14957 14958 14959 14961 14968 14971 14976 14977 14978 14982 14985 14986 14989 14992 14992 15007 15008 15009 15010 15017 15023 15031 15054 15068 15069 15073 15075 15078 15083 15110 15117 15118 15121 15125 15127 15130 15136 15138 15142 15143 15144 15146 15148 15149 15152 15155 15157 15157 15159 15162 15168 15169 15183 15188 15189 15198 15213 15215 15216 15217 15218 15222 15224 15225 15226 15227 15228 15229 15230 15231 15232 15235 15236 15237 15238 15241 15242 15244 15245 15247 15248 15249 15250 15251 15252 15253 15254 15256 15258 15259 15261 15262 15263 15264 15265 15266 15267 15268 15270 15271 15272 15273 15274 15275 15276 15277 15278 15279 15281 15283 15286 15287 15288 15289 15290 15293 15294 15295 15296 15297 15299 15301 15302 15303 15304 15305 15306 15307 15308 15309 15310 15311 15312 15313 15314 15315 15316 15317 15318 15319 15320 15321 15323 15324 15327 15328 15332 15333 15334 15335 15337 15342 15343 15347 15348 15349 15350 15351 15353 15370 15384 15385 15386 15387 15388 15389 15390 15391 15392 15393 15394 15395 15396 15397 15398 15399 15400 15401 15402 15403 15404 15405 15406 15407 15408 15409 15410 15411 15412 15413 15414 15415 15416 15417 15418 15419 15420 15421 15422 15423 15424 15425 15426 15427 15428 15429 15430 15431 15432 15433 15434 15435 15436 15437 15438 15439 15440 15441 15442 15443 15444 15446 15448 15454 15455 15458 15459 15461 15463 15465 15466 15467 15468 15477 15484 15486 15491 15496 15499 15507 15510 15511 15519 15524 15525 15530 15532 15535 15538 15541 15543 15546 15556 15558 15558 15560 15562 15574 15582 15583 15584 15590 15590 15591 15594 15594 15595 15596 15597 15598 15600 15611 15612 15613 15614 15615 15616 15617 15618 15619 15620 15621 15622 15623 15624 15625 15626 15627 15628 15629 15630 15631 15632 15633 15634 15635 15636 15637 15638 15639 15640 15641 15642 15643 15644 15645 15646 15647 15648 15649 15650 15651 15652 15653 15654 15655 15656 15657 15658 15659 15660 15661 15662 15663 15664 15665 15666 15667 15668 15669 15670 15671 15672 15673 15674 15675 15676 15677 15678 15679 15680 15681 15682 15683 15684 15685 15686 15687 15688 15689 15690 15691 15692 15693 15694 15695 15696 15697 15698 15699 15700 15701 15702 15703 15704 15705 15706 15707 15708 15709 15710 15711 15712 15713 15714 15715 15716 15717 15718 15719 15720 15721 15722 15723 15724 15725 15726 15727 15728 15729 15730 15731 15732 15733 15734 15735 15736 15737 15738 15739 15740 15741 15742 15743 15744 15745 15746 15747 15748 15749 15750 15751 15752 15753 15754 15755 15756 15757 15758 15759 15760 15761 15762 15763 15764 15765 15766 15767 15768 15769 15770 15771 15772 15773 15774 15775 15776 15777 15778 15779 15780 15781 15782 15783 15784 15785 15786 15787 15788 15789 15790 15791 15792 15793 15794 15795 15796 15797 15798 15799 15800 15801 15802 15803 15804 15805 15806 15807 15808 15809 15810 15811 15812 15813 15814 15815 15816 15817 15818 15819 15820 15821 15822 15823 15824 15825 15826 15827 15828 15829 15830 15831 15832 15833 15834 15835 15836 15837 15838 15839 15840 15841 15842 15843 15844 15845 15846 15847 15848 15849 15850 15851 15852 15853 15854 15855 15856 15857 15858 15859 15860 15861 15862 15863 15864 15865 15866 15867 15868 15869 15870 15871 15872 15873 15874 15875 15876 15877 15878 15879 15880 15881 15882 15883 15884 15885 15886 15887 15888 15889 15890 15891 15892 15893 15894 15895 15896 15897 15898 15899 15900 15901 15902 15903 15904 15910 15911 15912 15916 15919 15937 15938 15938 15939 15942 15950 15951 15952 16091 16093 16096 16104 16107 16108 16109 16113 16119 16120 16126 16129 16131 16134 16135 16136 16137 16140 16146 16149 16151 16157 16160 16162 16163 16170 16175 16177 16179 16181 16182 16183 16184 16186 16191 16195 16199 16204 16205 16206 16208 16214 16215 16216 16224 16227 16228 16230 16235 16238 16239 16240 16241 16242 16245 16246 16247 16250 16251 16253 16254 16266 16267 16269 16274 16274 16276 16280 16281 16283 16285 16286 16290 16291 16292 16293 16294 16296 16297 16301 16305 16306 16307 16310 16313 16314 16315 16317 16320 16321 16322 16324 16327 16328 16330 16332 16337 16338 16341 16342 16343 16344 16353 16355 16360 16361 16364 16365 16366 16370 16371 16372 16373 16375 16377 16379 16382 16384 16385 16387 16388 16389 16392 16393 16394 16402 16403 16405 16406 16407 16409 16410 16412 16413 16414 16415 16416 16417 16419 16420 16421 16422 16424 16425 16428 16429 16430 16431 16432 16466 16468 16471 16612 16653 16655 16666 16669 16671 16701 16715 16721 16723 16728 16730 16737 16739 16741 16744 16745 16746 16747 16752 16756 16759 16761 16763 16764 16765 16765 16773 16776 16779 16780 16792 16801 16812 16814 16815 16816 16817 16820 16828 16831 16833 16833 16835 16837 16839 16842 16895 16899 16903 16904 16905 16906 16907 16909 16910 16911 16912 16913 16914 16915 16916 16917 16918 16919 16920 16921 16922 16923 16924 16926 16927 16928 16929 16930 16931 16932 16933 16935 16936 16937 16938 16939 16940 16941 16942 16943 16944 16945 16946 16947 16948 16949 16950 16951 16952 16953 16954 16955 16956 16957 16958 16959 16960 16961 16963 16965 16966 16967 16968 16969 16970 16971 16972 16973 16975 16976 16977 16978 16979 16980 16981 16982 16983 16984 16985 16986 16987 16988 16989 16991 16992 16993 16994 16996 16997 16998 16999 17000 17001 17003 17011 17013 17014 17101 17102 17108 17109 17111 17121 17130 17133 17144 17145 17162 17178 17181 17185 17187 17191 17201 17222 17224 17227 17230 17241 17242 17244 17247 17249 17251 17254 17255 17255 17257 17263 17263 17271 17272 17273 17274 17275 17276 17277 17278 17279 17280 17281 17282 17283 17284 17291 17293 17295 17296 17299 17302 17303 17304 17305 17306 17307 17308 17309 17310 17486 17489 17495 17497 17499 17500 17501 17508 17509 17512 17514 17515 17519 17522 17524 17526 17526 17531 17532 17536 17547 17551 17552 17553 17554 17554 17560 17561 17563 17563 17564 17566 17571 17575 17575 17576 17577 17578 17581 17586 17587 17595 17599 17602 17606 17613 17621 17625 17630 17665 17667 17673 17681 17683 17686 17687 17688 17689 17690 17692 17696 17700 17702 17704 17711 17711 17716 17720 17721 17729 17730 17733 17735 17737 17738 17742 17743 17744 17745 17746 17747 17748 17749 17750 17751 17752 17753 17754 17757 17758 17760 17761 17763 17764 17765 17766 17767 17768 17769 17771 17772 17773 17774 17775 17776 17777 17778 17779 17780 17781 17782 17783 17784 17785 17786 17787 17788 17790 17791 17792 17796 17797 17799 17807 17809 17811 17812 17814 17816 17817 17818 17819 17820 17821 17822 17823 17825 17826 17828 17829 17830 17832 17833 17835 17839 17841 17842 17843 17844 17845 17846 17847 17848 17850 17851 17852 17853 17854 17855 17856 17857 17858 17859 17860 17861 17862 17863 17864 17865 17866 17867 17868 17869 17870 17871 17872 17873 17874 17875 17876 17877 17878 17879 17880 17881 17882 17883 17884 17885 17886 17887 17888 17889 17890 17891 17892 17893 17894 17895 17896 17897 17898 17900 17901 17902 17903 17904 17905 17906 17907 17908 17909 17910 17911 17912 17913 17914 17915 17916 17917 17918 17919 17920 17921 17922 17923 17924 17925 17926 17927 17929 17930 17931 17932 17933 17934 17935 17936 17937 17939 17941 17942 17943 17944 17945 17946 17948 17949 17950 17951 17952 17953 17954 17955 17956 17957 17958 17959 17960 17961 17962 17963 17964 17965 17966 17967 17968 17969 17970 17971 17972 17973 17974 17975 17976 17977 17978 17979 17980 17981 17982 17983 17984 17985 17986 17987 17988 17990 17991 17992 17993 17994 17995 17996 17997 17998 17999 18000 18001 18002 18003 18004 18005 18006 18007 18008 18009 18010 18011 18012 18013 18014 18015 18016 18017 18018 18019 18020 18021 18022 18023 18024 18025 18026 18027 18028 18029 18030 18031 18032 18033 18035 18036 18037 18038 18039 18040 18041 18042 18043 18044 18045 18047 18048 18049 18050 18051 18052 18053 18054 18055 18056 18057 18058 18059 18060 18061 18062 18063 18064 18065 18066 18067 18068 18069 18070 18071 18072 18073 18074 18075 18077 18078 18079 18080 18081 18082 18083 18084 18085 18086 18087 18088 18089 18090 18091 18092 18093 18094 18095 18096 18097 18098 18099 18100 18101 18102 18103 18104 18105 18106 18108 18109 18110 18111 18112 18113 18114 18115 18116 18117 18118 18119 18120 18121 18122 18123 18124 18125 18126 18127 18128 18129 18130 18131 18132 18133 18134 18135 18136 18137 18138 18139 18140 18141 18142 18143 18144 18145 18146 18148 18149 18150 18151 18152 18153 18154 18155 18156 18157 18158 18159 18160 18161 18163 18164 18165 18166 18167 18168 18169 18170 18171 18172 18173 18174 18175 18176 18177 18178 18179 18180 18181 18182 18183 18184 18185 18186 18187 18188 18189 18190 18191 18192 18193 18194 18195 18196 18197 18198 18199 18200 18201 18202 18204 18205 18206 18207 18208 18209 18210 18211 18212 18213 18214 18215 18216 18217 18218 18219 18221 18222 18223 18224 18225 18226 18227 18228 18229 18230 18231 18232 18233 18234 18235 18236 18237 18238 18239 18240 18241 18242 18243 18244 18245 18246 18247 18248 18249 18250 18251 18252 18253 18254 18255 18256 18259 18260 18261 18262 18263 18264 18265 18266 18267 18268 18269 18270 18271 18272 18273 18274 18275 18276 18277 18278 18279 18280 18281 18282 18283 18284 18285 18286 18287 18288 18289 18290 18291 18292 18293 18294 18295 18296 18297 18298 18299 18300 18301 18302 18303 18304 18305 18306 18307 18308 18309 18310 18311 18312 18313 18314 18315 18317 18318 18319 18320 18321 18322 18323 18324 18325 18326 18327 18328 18329 18330 18331 18332 18333 18334 18335 18336 18337 18338 18339 18340 18341 18342 18343 18344 18345 18346 18347 18348 18349 18350 18351 18352 18353 18354 18355 18356 18357 18358 18359 18360 18361 18362 18363 18364 18365 18366 18367 18368 18369 18370 18371 18372 18373 18374 18375 18376 18377 18378 18379 18381 18382 18383 18384 18385 18386 18387 18388 18389 18390 18391 18392 18393 18394 18395 18396 18397 18398 18399 18400 18401 18402 18403 18404 18405 18406 18407 18408 18410 18411 18412 18413 18414 18415 18416 18417 18418 18419 18420 18421 18422 18423 18424 18425 18426 18427 18428 18429 18430 18431 18432 18433 18434 18435 18436 18437 18438 18439 18440 18441 18442 18443 18444 18446 18447 18448 18449 18450 18451 18452 18453 18454 18455 18456 18457 18458 18459 18460 18461 18462 18464 18465 18466 18467 18469 18470 18471 18472 18473 18474 18475 18476 18477 18478 18479 18480 18481 18482 18483 18484 18485 18486 18487 18488 18489 18490 18491 18492 18493 18494 18495 18496 18497 18498 18499 18500 18501 18502 18503 18504 18505 18506 18507 18508 18509 18510 18511 18512 18513 18514 18515 18516 18517 18518 18519 18520 18521 18522 18523 18524 18525 18527 18528 18529 18530 18531 18532 18533 18534 18535 18536 18537 18538 18539 18540 18541 18542 18543 18543 18544 18545 18546 18547 18548 18549 18550 18552 18553 18555 18556 18557 18558 18560 18561 18562 18563 18564 18565 18566 18567 18568 18569 18570 18571 18572 18573 18574 18575 18576 18577 18578 18579 18580 18581 18582 18583 18584 18585 18586 18587 18588 18589 18590 18591 18592 18593 18594 18595 18596 18597 18598 18599 18600 18601 18602 18603 18604 18605 18606 18607 18608 18609 18610 18611 18612 18613 18614 18615 18616 18617 18618 18619 18620 18621 18623 18624 18625 18626 18627 18628 18629 18630 18631 18632 18633 18634 18635 18636 18637 18638 18639 18640 18641 18642 18643 18644 18645 18646 18647 18648 18649 18650 18651 18652 18653 18654 18655 18656 18657 18658 18659 18660 18661 18662 18663 18664 18665 18666 18667 18668 18669 18670 18671 18672 18673 18674 18675 18676 18677 18678 18679 18680 18681 18682 18683 18684 18685 18686 18687 18688 18689 18690 18691 18692 18693 18694 18695 18696 18697 18698 18699 18700 18701 18702 18703 18704 18705 18706 18707 18708 18709 18710 18711 18712 18713 18714 18715 18716 18717 18718 18719 18720 18721 18722 18723 18724 18725 18726 18727 18728 18729 18730 18731 18732 18733 18734 18735 18736 18737 18738 18739 18740 18741 18742 18743 18744 18745 18746 18747 18748 18749 18750 18751 18752 18753 18754 18755 18756 18757 18758 18759 18760 18761 18762 18763 18764 18765 18766 18767 18768 18769 18770 18771 18772 18773 18774 18775 18776 18777 18778 18779 18780 18781 18782 18783 18784 18785 18786 18787 18788 18789 18790 18791 18792 18793 18794 18795 18796 18797 18798 18799 18800 18801 18802 18803 18804 18805 18806 18807 18808 18809 18810 18811 18812 18813 18814 18815 18816 18817 18818 18819 18820 18821 18822 18823 18824 18825 18826 18827 18828 18829 18830 18831 18832 18833 18834 18835 18836 18837 18838 18839 18840 18841 18842 18843 18844 18845 18846 18847 18848 18849 18850 18851 18852 18853 18854 18855 18856 18857 18858 18859 18860 18861 18862 18863 18864 18865 18866 18867 18868 18869 18870 18871 18872 18873 18874 18875 18876 18877 18878 18879 18880 18881 18882 18883 18884 18885 18886 18887 18888 18889 18890 18891 18892 18893 18894 18895 18896 18897 18898 18899 18900 18901 18902 18903 18904 18905 18906 18907 18908 18909 18910 18911 18912 18913 18914 18915 18916 18917 18918 18919 18920 18921 18922 18923 18924 18925 18926 18927 18928 18929 18930 18931 18932 18933 18934 18935 18936 18937 18938 18939 18940 18941 18942 18943 18944 18945 18946 18947 18948 18949 18950 18951 18952 18953 18954 18955 18956 18957 18958 18959 18960 18961 18962 18963 18964 18965 18966 18967 18968 18969 18970 18971 18972 18973 18974 18975 18976 18977 18978 18979 18980 18981 18982 18983 18984 18985 18986 18987 18988 18989 18990 18991 18992 18993 18994 18995 18996 18997 18998 18999 19000 19001 19002 19003 19004 19005 19006 19007 19008 19009 19010 19011 19012 19013 19014 19015 19016 19017 19018 19019 19020 19021 19022 19023 19024 19025 19026 19027 19028 19029 19030 19031 19032 19033 19034 19035 19036 19037 19038 19039 19040 19041 19044 19045 19046 19047 19048 19050 19052 19054 19055 19056 19057 19058 19059 19060 19063 19065 19066 19067 19068 19070 19071 19072 19073 19074 19075 19076 19077 19078 19079 19080 19081 19082 19082 19083 19084 19085 19086 19087 19088 19089 19090 19091 19092 19093 19094 19095 19096 19097 19099 19100 19102 19103 19104 19105 19105 19106 19107 19108 19109 19110 19111 19113 19114 19115 19116 19117 19119 19120 19121 19122 19123 19124 19126 19127 19128 19129 19132 19132 19133 19134 19135 19136 19137 19138 19139 19140 19141 19142 19143 19145 19146 19147 19148 19150 19152 19153 19154 19155 19156 19157 19158 19159 19160 19161 19162 19163 19164 19164 19167 19168 19169 19171 19172 19173 19177 19182 19188 19190 19191 19193 19194 19200 19202 19208 19209 19210 19211 19212 19213 19214 19215 19216 19217 19219 19220 19221 19222 19223 19224 19226 19227 19228 19229 19230 19231 19232 19233 19234 19235 19241 19243 19244 19245 19246 19247 19248 19249 19250 19251 19252 19253 19254 19255 19256 19257 19258 19261 19262 19264 19265 19266 19267 19268 19269 19270 19271 19272 19273 19274 19275 19276 19277 19278 19279 19280 19283 19284 19286 19287 19288 19289 19291 19292 19293 19294 19295 19296 19297 19298 19299 19300 19301 19302 19303 19304 19305 19306 19307 19308 19309 19310 19311 19312 19313 19315 19316 19318 19319 19322 19324 19325 19326 19327 19328 19329 19330 19331 19332 19333 19334 19335 19336 19337 19338 19340 19341 19342 19343 19344 19345 19346 19347 19348 19350 19351 19352 19353 19354 19355 19356 19357 19358 19359 19360 19361 19362 19363 19364 19365 19366 19367 19368 19369 19370 19371 19372 19373 19374 19375 19376 19377 19378 19380 19381 19382 19383 19384 19385 19386 19387 19388 19389 19390 19391 19392 19393 19394 19395 19397 19398 19399 19400 19401 19402 19403 19405 19406 19407 19408 19409 19410 19412 19413 19414 19415 19416 19417 19418 19419 19420 19421 19422 19423 19424 19425 19426 19427 19428 19429 19430 19431 19432 19433 19434 19435 19436 19437 19438 19439 19440 19443 19444 19445 19446 19447 19448 19449 19450 19452 19453 19454 19455 19456 19457 19458 19459 19462 19463 19464 19465 19466 19467 19468 19469 19470 19471 19473 19474 19475 19476 19477 19478 19479 19480 19481 19482 19483 19485 19486 19487 19488 19489 19490 19492 19493 19494 19495 19496 19497 19498 19499 19500 19501 19502 19503 19504 19505 19506 19507 19508 19509 19510 19512 19513 19514 19515 19516 19517 19518 19519 19520 19521 19522 19524 19525 19527 19528 19529 19530 19531 19532 19533 19534 19536 19537 19538 19539 19541 19542 19543 19544 19545 19546 19547 19548 19549 19550 19551 19552 19553 19554 19555 19556 19557 19558 19559 19560 19561 19562 19563 19564 19565 19566 19568 19569 19570 19571 19572 19573 19574 19575 19576 19578 19579 19581 19582 19583 19584 19587 19588 19589 19590 19591 19592 19593 19595 19596 19597 19598 19599 19601 19603 19604 19605 19606 19607 19608 19609 19610 19611 19612 19613 19614 19615 19616 19617 19618 19619 19620 19622 19623 19624 19625 19626 19627 19628 19629 19630 19631 19632 19633 19634 19636 19638 19640 19641 19642 19643 19644 19645 19646 19647 19649 19651 19652 19653 19654 19655 19657 19659 19660 19662 19663 19664 19665 19666 19667 19668 19669 19671 19672 19673 19674 19675 19676 19677 19678 19679 19680 19681 19682 19683 19684 19685 19686 19687 19688 19689 19690 19691 19692 19694 19695 19696 19697 19699 19700 19701 19702 19703 19704 19706 19707 19708 19710 19711 19712 19713 19714 19717 19718 19719 19721 19722 19723 19724 19725 19726 19728 19729 19730 19731 19732 19733 19734 19735 19737 19738 19739 19740 19741 19742 19743 19744 19745 19746 19747 19748 19749 19750 19752 19753 19754 19755 19756 19757 19758 19760 19761 19762 19764 19765 19766 19767 19768 19769 19770 19771 19772 19773 19774 19775 19776 19777 19778 19779 19780 19781 19782 19783 19784 19785 19786 19787 19788 19789 19790 19791 19792 19793 19794 19795 19796 19797 19798 19799 19800 19801 19802 19803 19804 19805 19807 19808 19810 19811 19812 19813 19814 19816 19830 19834 19836 19839 19841 19842 19843 19843 19844 19846 19848 19850 19853 19854 19858 19860 19868 19870 19871 19875
1183	15476
1184	14786 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15367 15582 15582 15921 15929 17423 17465 17700 17728
1185	17294
1186	16867 16878 17632 17633
1187	15911
1188	15152 15152 15152 15152 16782
1189	15937
1190	16891
1191	14907 17498
