circRNA_id,miRNA_id
1019,1731 1797 1805 2049 2063
1021,1675 1694 1780 1942 2058
1028,1693 1848 1892 1930 1981
1031,1729
1033,1713
1034,1713 2047
1040,1950
1041,1943
1048,2034
1062,1667
1065,1882
1074,1665 1754 1785 1917 1928
1093,2034
1099,1712
